word,pos,definition
ABOUT,prep.,Around; all round; on every side of.
ABOUT,prep.,"In the immediate neighborhood of; in contiguity or proximity to; near, as to place; by or on (one's person)."
ABOUT,prep.,Over or upon different parts of; through or over in various directions; here and there in; to and fro in; throughout.
ABOUT,prep.,"Near; not far from; -- determining approximately time, size, quantity."
ABOUT,prep.,In concern with; engaged in; intent on.
ABOUT,prep.,On the point or verge of; going; in act of.
ABOUT,prep.,Concerning; with regard to; on account of; touching.
ABOUT,adv.,On all sides; around.
ABOUT,adv.,"In circuit; circularly; by a circuitous way; around the outside; as, a mile about, and a third of a mile across."
ABOUT,adv.,Here and there; around; in one place and another.
ABOUT,adv.,"Nearly; approximately; with close correspondence, in quality, manner, degree, etc.; as, about as cold; about as high; -- also of quantity, number, time."
ABOUT,adv.,"To a reserved position; half round; in the opposite direction; on the opposite tack; as, to face about; to turn one's self about."
ABOVE,prep.,In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.
ABOVE,prep.,"Figuratively, higher than; superior to in any respect; surpassing; beyond; higher in measure or degree than; as, things above comprehension; above mean actions; conduct above reproach."
ABOVE,prep.,"Surpassing in number or quantity; more than; as, above a hundred. (Passing into the adverbial sense. See Above, adv., 4.)"
ABOVE,adv.,"In a higher place; overhead; into or from heaven; as, the clouds above."
ABOVE,adv.,"Earlier in order; higher in the same page; hence, in a foregoing page."
ABOVE,adv.,"Higher in rank or power; as, he appealed to the court above."
ABOVE,adv.,"More than; as, above five hundred were present."
ABRAY,v.,See Abraid.
ABSIS,n.,See Apsis.
ABUNA,n.,"The Patriarch, or head of the Abyssinian Church."
ABUSE,v. t.,"To put to a wrong use; to misapply; to misuse; to put to a bad use; to use for a wrong purpose or end; to pervert; as, to abuse inherited gold; to make an excessive use of; as, to abuse one's authority."
ABUSE,v. t.,"To use ill; to maltreat; to act injuriously to; to punish or to tax excessively; to hurt; as, to abuse prisoners, to abuse one's powers, one's patience."
ABUSE,v. t.,To revile; to reproach coarsely; to disparage.
ABUSE,v. t.,To dishonor.
ABUSE,v. t.,To violate; to ravish.
ABUSE,v. t.,To deceive; to impose on.
ABUSE,v. t.,"Improper treatment or use; application to a wrong or bad purpose; misuse; as, an abuse of our natural powers; an abuse of civil rights, or of privileges or advantages; an abuse of language."
ABUSE,v. t.,Physical ill treatment; injury.
ABUSE,v. t.,"A corrupt practice or custom; offense; crime; fault; as, the abuses in the civil service."
ABUSE,v. t.,"Vituperative words; coarse, insulting speech; abusive language; virulent condemnation; reviling."
ABUSE,v. t.,"Violation; rape; as, abuse of a female child."
ABUZZ,a.,In a buzz; buzzing.
ABYSM,n.,An abyss; a gulf.
ABYSS,n.,"A bottomless or unfathomed depth, gulf, or chasm; hence, any deep, immeasurable, and, specifically, hell, or the bottomless pit."
ABYSS,n.,Infinite time; a vast intellectual or moral depth.
ABYSS,n.,The center of an escutcheon.
ACARI,pl. ,of Acarus
ACCOY,v. t.,To render quiet; to soothe.
ACCOY,v. t.,To subdue; to tame; to daunt.
ACERB,a.,"Sour, bitter, and harsh to the taste, as unripe fruit; sharp and harsh."
ACHED,imp. & p. p.,of Ache
ACINI,pl. ,of Acinus
ACOCK,adv.,In a cocked or turned up fashion.
ACOLD,a.,Cold.
ACORN,n.,"The fruit of the oak, being an oval nut growing in a woody cup or cupule."
ACORN,n.,"A cone-shaped piece of wood on the point of the spindle above the vane, on the mast-head."
ACORN,n.,See Acorn-shell.
ACRED,a.,"Possessing acres or landed property; -- used in composition; as, large-acred men."
ACRID,a.,"Sharp and harsh, or bitter and not, to the taste; pungent; as, acrid salts."
ACRID,a.,"Causing heat and irritation; corrosive; as, acrid secretions."
ACRID,a.,"Caustic; bitter; bitterly irritating; as, acrid temper, mind, writing."
ACTED,imp. & p. p.,of Act
ACTON,n.,"A stuffed jacket worn under the mail, or (later) a jacket plated with mail."
ACTOR,n.,"One who acts, or takes part in any affair; a doer."
ACTOR,n.,A theatrical performer; a stageplayer.
ACTOR,n.,An advocate or proctor in civil courts or causes.
ACTOR,n.,One who institutes a suit; plaintiff or complainant.
ACUTE,a.,"Sharp at the end; ending in a sharp point; pointed; -- opposed to blunt or obtuse; as, an acute angle; an acute leaf."
ACUTE,a.,"Having nice discernment; perceiving or using minute distinctions; penetrating; clever; shrewd; -- opposed to dull or stupid; as, an acute observer; acute remarks, or reasoning."
ACUTE,a.,"Having nice or quick sensibility; susceptible to slight impressions; acting keenly on the senses; sharp; keen; intense; as, a man of acute eyesight, hearing, or feeling; acute pain or pleasure."
ACUTE,a.,"High, or shrill, in respect to some other sound; -- opposed to grave or low; as, an acute tone or accent."
ACUTE,a.,"Attended with symptoms of some degree of severity, and coming speedily to a crisis; -- opposed to chronic; as, an acute disease."
ACUTE,v. t.,"To give an acute sound to; as, he acutes his rising inflection too much."
ADACT,v. t.,To compel; to drive.
ADAGE,n.,"An old saying, which has obtained credit by long use; a proverb."
ADAPT,a.,Fitted; suited.
ADAPT,v. t.,"To make suitable; to fit, or suit; to adjust; to alter so as to fit for a new use; -- sometimes followed by to or for."
ADAYS,adv.,"By day, or every day; in the daytime."
ADDED,imp. & p. p.,of Add
ADDAX,n.,"One of the largest African antelopes (Hippotragus, / Oryx, nasomaculatus)."
ADDER,n.,"One who, or that which, adds; esp., a machine for adding numbers."
ADDER,n.,A serpent.
ADDER,n.,A small venomous serpent of the genus Vipera. The common European adder is the Vipera (/ Pelias) berus. The puff adders of Africa are species of Clotho.
ADDER,n.,"In America, the term is commonly applied to several harmless snakes, as the milk adder, puffing adder, etc."
ADDER,n.,Same as Sea Adder.
ADDLE,n.,Liquid filth; mire.
ADDLE,n.,Lees; dregs.
ADDLE,a.,"Having lost the power of development, and become rotten, as eggs; putrid. Hence: Unfruitful or confused, as brains; muddled."
ADDLE,v. t. & i.,"To make addle; to grow addle; to muddle; as, he addled his brain."
ADDLE,v. t. & i.,To earn by labor.
ADDLE,v. t. & i.,To thrive or grow; to ripen.
ADEEM,v. t.,"To revoke, as a legacy, grant, etc., or to satisfy it by some other gift."
ADEPS,n.,Animal fat; lard.
ADEPT,n.,"One fully skilled or well versed in anything; a proficient; as, adepts in philosophy."
ADEPT,a.,Well skilled; completely versed; thoroughly proficient.
ADIEU,interj. & adv.,Good-by; farewell; an expression of kind wishes at parting.
ADIEU,n.,A farewell; commendation to the care of God at parting.
ADMIT,v. t.,"To suffer to enter; to grant entrance, whether into a place, or into the mind, or consideration; to receive; to take; as, they were into his house; to admit a serious thought into the mind; to admit evidence in the trial of a cause."
ADMIT,v. t.,"To give a right of entrance; as, a ticket admits one into a playhouse."
ADMIT,v. t.,"To allow (one) to enter on an office or to enjoy a privilege; to recognize as qualified for a franchise; as, to admit an attorney to practice law; the prisoner was admitted to bail."
ADMIT,v. t.,"To concede as true; to acknowledge or assent to, as an allegation which it is impossible to deny; to own or confess; as, the argument or fact is admitted; he admitted his guilt."
ADMIT,v. t.,"To be capable of; to permit; as, the words do not admit such a construction. In this sense, of may be used after the verb, or may be omitted."
ADMIX,v. t.,To mingle with something else; to mix.
ADOBE,n.,"An unburnt brick dried in the sun; also used as an adjective, as, an adobe house, in Texas or New Mexico."
ADOOR,,Alt. of Adoors
ADOPT,v. t.,"To take by choice into relationship, as, child, heir, friend, citizen, etc.; esp. to take voluntarily (a child of other parents) to be in the place of, or as, one's own child."
ADOPT,v. t.,"To take or receive as one's own what is not so naturally; to select and take or approve; as, to adopt the view or policy of another; these resolutions were adopted."
ADORE,v. t.,To worship with profound reverence; to pay divine honors to; to honor as deity or as divine.
ADORE,v. t.,To love in the highest degree; to regard with the utmost esteem and affection; to idolize.
ADORE,v. t.,To adorn.
ADORN,v. t.,To deck or dress with ornaments; to embellish; to set off to advantage; to render pleasing or attractive.
ADORN,n.,Adornment.
ADORN,a.,Adorned; decorated.
ADOWN,adv.,"From a higher to a lower situation; downward; down, to or on the ground."
ADOWN,prep.,Down.
ADRAD,p. a.,Put in dread; afraid.
ADRIP,adv. & a.,"In a dripping state; as, leaves all adrip."
ADULT,a.,"Having arrived at maturity, or to full size and strength; matured; as, an adult person or plant; an adult ape; an adult age."
ADULT,n.,"A person, animal, or plant grown to full size and strength; one who has reached maturity."
ADUNC,a.,Alt. of Adunque
ADURE,v. t.,To burn up.
ADUST,a.,Inflamed or scorched; fiery.
ADUST,a.,Looking as if or scorched; sunburnt.
ADUST,a.,Having much heat in the constitution and little serum in the blood. [Obs.] Hence: Atrabilious; sallow; gloomy.
ADYTA,pl. ,of Adytum
AEGIS,n.,A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva. Also fig.: A shield; a protection.
AERIE,n.,"The nest of a bird of prey, as of an eagle or hawk; also a brood of such birds; eyrie. Shak. Also fig.: A human residence or resting place perched like an eagle's nest."
AFFIX,v. t.,"To subjoin, annex, or add at the close or end; to append to; to fix to any part of; as, to affix a syllable to a word; to affix a seal to an instrument; to affix one's name to a writing."
AFFIX,v. t.,To fix or fasten in any way; to attach physically.
AFFIX,v. t.,"To attach, unite, or connect with; as, names affixed to ideas, or ideas affixed to things; to affix a stigma to a person; to affix ridicule or blame to any one."
AFFIX,v. t.,"To fix or fasten figuratively; -- with on or upon; as, eyes affixed upon the ground."
AFFIX,n.,That which is affixed; an appendage; esp. one or more letters or syllables added at the end of a word; a suffix; a postfix.
AFIRE,adv. & a.,On fire.
AFLAT,adv.,Level with the ground; flat.
AFLOW,adv. & a.,Flowing.
AFOAM,adv. & a.,"In a foaming state; as, the sea is all afoam."
AFOOT,adv.,On foot.
AFOOT,adv.,Fig.: In motion; in action; astir; in progress.
AFORE,adv.,Before.
AFORE,adv.,In the fore part of a vessel.
AFORE,prep.,Before (in all its senses).
AFORE,prep.,"Before; in front of; farther forward than; as, afore the windlass."
AFOUL,adv. & a.,In collision; entangled.
AFRIC,a.,African.
AFRIC,n.,Africa.
AFRIT,n.,Alt. of Afreet
AFTER,a.,"Next; later in time; subsequent; succeeding; as, an after period of life."
AFTER,a.,Hinder; nearer the rear.
AFTER,a.,"To ward the stern of the ship; -- applied to any object in the rear part of a vessel; as the after cabin, after hatchway."
AFTER,prep.,"Behind in place; as, men in line one after another."
AFTER,prep.,Below in rank; next to in order.
AFTER,prep.,"Later in time; subsequent; as, after supper, after three days. It often precedes a clause. Formerly that was interposed between it and the clause."
AFTER,prep.,"Subsequent to and in consequence of; as, after what you have said, I shall be careful."
AFTER,prep.,"Subsequent to and notwithstanding; as, after all our advice, you took that course."
AFTER,prep.,"Moving toward from behind; following, in search of; in pursuit of."
AFTER,prep.,"Denoting the aim or object; concerning; in relation to; as, to look after workmen; to inquire after a friend; to thirst after righteousness."
AFTER,prep.,"In imitation of; in conformity with; after the manner of; as, to make a thing after a model; a picture after Rubens; the boy takes after his father."
AFTER,prep.,"According to; in accordance with; in conformity with the nature of; as, he acted after his kind."
AFTER,prep.,According to the direction and influence of; in proportion to; befitting.
AFTER,adv.,"Subsequently in time or place; behind; afterward; as, he follows after."
AGAIN,adv.,"In return, back; as, bring us word again."
AGAIN,adv.,Another time; once more; anew.
AGAIN,adv.,"Once repeated; -- of quantity; as, as large again, half as much again."
AGAIN,adv.,In any other place.
AGAIN,adv.,On the other hand.
AGAIN,adv.,Moreover; besides; further.
AGAIN,prep.,Alt. of Agains
AGAMA,n.,"A genus of lizards, one of the few which feed upon vegetable substances; also, one of these lizards."
AGAMI,n.,"A South American bird (Psophia crepitans), allied to the cranes, and easily domesticated; -- called also the gold-breasted trumpeter. Its body is about the size of the pheasant. See Trumpeter."
AGAPE,adv. & a.,"Gaping, as with wonder, expectation, or eager attention."
AGAPE,n.,"The love feast of the primitive Christians, being a meal partaken of in connection with the communion."
AGASP,adv. & a.,In a state of gasping.
AGAST,v. t.,Alt. of Aghast
AGAST,p. p. & a.,See Aghast.
AGATE,adv.,"On the way; agoing; as, to be agate; to set the bells agate."
AGATE,n.,"A semipellucid, uncrystallized variety of quartz, presenting various tints in the same specimen. Its colors are delicately arranged in stripes or bands, or blended in clouds."
AGATE,n.,"A kind of type, larger than pearl and smaller than nonpareil; in England called ruby."
AGATE,n.,A diminutive person; so called in allusion to the small figures cut in agate for rings and seals.
AGATE,n.,"A tool used by gold-wire drawers, bookbinders, etc.; -- so called from the agate fixed in it for burnishing."
AGATY,a.,"Of the nature of agate, or containing agate."
AGAVE,n.,"A genus of plants (order Amaryllidaceae) of which the chief species is the maguey or century plant (A. Americana), wrongly called Aloe. It is from ten to seventy years, according to climate, in attaining maturity, when it produces a gigantic flower stem, sometimes forty feet in height, and perishes. The fermented juice is the pulque of the Mexicans; distilled, it yields mescal. A strong thread and a tough paper are made from the leaves, and the wood has many uses."
AGING,p. pr. & vb. n.,of Age
AGEND,n.,See Agendum.
AGENT,a.,"Acting; -- opposed to patient, or sustaining, action."
AGENT,n.,"One who exerts power, or has the power to act; an actor."
AGENT,n.,"One who acts for, or in the place of, another, by authority from him; one intrusted with the business of another; a substitute; a deputy; a factor."
AGENT,n.,"An active power or cause; that which has the power to produce an effect; as, a physical, chemical, or medicinal agent; as, heat is a powerful agent."
AGGER,n.,An earthwork; a mound; a raised work.
AGGRY,a.,Alt. of Aggri
AGGRI,a.,"Applied to a kind of variegated glass beads of ancient manufacture; as, aggry beads are found in Ashantee and Fantee in Africa."
AGILE,a.,"Having the faculty of quick motion in the limbs; apt or ready to move; nimble; active; as, an agile boy; an agile tongue."
AGIOS,pl. ,of Agio
AGIST,v. t.,"To take to graze or pasture, at a certain sum; -- used originally of the feeding of cattle in the king's forests, and collecting the money for the same."
AGLET,n.,Alt. of Aiglet
AGLEY,adv.,Aside; askew.
AGLOW,adv. & a.,"In a glow; glowing; as, cheeks aglow; the landscape all aglow."
AGNUS,n.,Agnus Dei.
AGONE,a. & adv.,Ago.
AGONE,n.,Agonic line.
AGONY,n.,Violent contest or striving.
AGONY,n.,"Pain so extreme as to cause writhing or contortions of the body, similar to those made in the athletic contests in Greece; and hence, extreme pain of mind or body; anguish; paroxysm of grief; specifically, the sufferings of Christ in the garden of Gethsemane."
AGONY,n.,Paroxysm of joy; keen emotion.
AGONY,n.,The last struggle of life; death struggle.
AGOOD,adv.,In earnest; heartily.
AGORA,n.,"An assembly; hence, the place of assembly, especially the market place, in an ancient Greek city."
AGREE,adv.,In good part; kindly.
AGREE,v. i.,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur; as, all parties agree in the expediency of the law."
AGREE,v. i.,"To yield assent; to accede; -- followed by to; as, to agree to an offer, or to opinion."
AGREE,v. i.,To make a stipulation by way of settling differences or determining a price; to exchange promises; to come to terms or to a common resolve; to promise.
AGREE,v. i.,"To be conformable; to resemble; to coincide; to correspond; as, the picture does not agree with the original; the two scales agree exactly."
AGREE,v. i.,"To suit or be adapted in its effects; to do well; as, the same food does not agree with every constitution."
AGREE,v. i.,"To correspond in gender, number, case, or person."
AGREE,v. t.,To make harmonious; to reconcile or make friends.
AGREE,v. t.,"To admit, or come to one mind concerning; to settle; to arrange; as, to agree the fact; to agree differences."
AGRIN,adv. & a.,In the act of grinning.
AGROM,n.,"A disease occurring in Bengal and other parts of the East Indies, in which the tongue chaps and cleaves."
AGUED,imp. & p. p.,of Ague
AGUSH,adv. & a.,In a gushing state.
AHEAD,adv.,In or to the front; in advance; onward.
AHEAD,adv.,Headlong; without restraint.
AHEAP,adv.,In a heap; huddled together.
AHIGH,adv.,On high.
AHOLD,adv.,"Near the wind; as, to lay a ship ahold."
AHULL,adv.,"With the sails furled, and the helm lashed alee; -- applied to ships in a storm. See Hull, n."
AIDED,imp. & p. p.,of Aid
AIDER,n.,"One who, or that which, aids."
AIGRE,a.,Sour.
AILED,imp. & p. p.,of Ail
AIMED,imp. & p. p.,of Aim
AIMER,n.,"One who aims, directs, or points."
AIRED,imp. & p. p.,of Air
AIRER,n.,One who exposes to the air.
AIRER,n.,A frame on which clothes are aired or dried.
AISLE,n.,"A lateral division of a building, separated from the middle part, called the nave, by a row of columns or piers, which support the roof or an upper wall containing windows, called the clearstory wall."
AISLE,n.,"Improperly used also for the have; -- as in the phrases, a church with three aisles, the middle aisle."
AISLE,n.,"Also (perhaps from confusion with alley), a passage into which the pews of a church open."
AITCH,n.,The letter h or H.
AKENE,n.,Same as Achene.
AKNEE,adv.,On the knee.
AKNOW,,Earlier form of Acknow.
ALACK,interj.,An exclamation expressive of sorrow.
ALAND,adv.,On land; to the land; ashore.
ALARM,n.,"A summons to arms, as on the approach of an enemy."
ALARM,n.,Any sound or information intended to give notice of approaching danger; a warning sound to arouse attention; a warning of danger.
ALARM,n.,A sudden attack; disturbance; broil.
ALARM,n.,"Sudden surprise with fear or terror excited by apprehension of danger; in the military use, commonly, sudden apprehension of being attacked by surprise."
ALARM,n.,"A mechanical contrivance for awaking persons from sleep, or rousing their attention; an alarum."
ALARM,v. t.,To call to arms for defense; to give notice to (any one) of approaching danger; to rouse to vigilance and action; to put on the alert.
ALARM,v. t.,To keep in excitement; to disturb.
ALARM,v. t.,To surprise with apprehension of danger; to fill with anxiety in regard to threatening evil; to excite with sudden fear.
ALARY,a.,"Of or pertaining to wings; also, wing-shaped."
ALATE,adv.,Lately; of late.
ALATE,a.,Alt. of Alated
ALBAN,n.,A white crystalline resinous substance extracted from gutta-percha by the action of alcohol or ether.
ALBEE,conj.,Although; albeit.
ALBUM,n.,"A white tablet on which anything was inscribed, as a list of names, etc."
ALBUM,n.,A register for visitors' names; a visitors' book.
ALBUM,n.,"A blank book, in which to insert autographs sketches, memorial writing of friends, photographs, etc."
ALBYN,n.,Scotland; esp. the Highlands of Scotland.
ALDAY,adv.,Continually.
ALDER,n.,"A tree, usually growing in moist land, and belonging to the genus Alnus. The wood is used by turners, etc.; the bark by dyers and tanners. In the U. S. the species of alder are usually shrubs or small trees."
ALDER,a.,Alt. of Aller
ALLER,a.,"Of all; -- used in composition; as, alderbest, best of all, alderwisest, wisest of all."
ALEAK,adv. & a.,In a leaking condition.
ALERT,a.,Watchful; vigilant; active in vigilance.
ALERT,a.,Brisk; nimble; moving with celerity.
ALERT,n.,"An alarm from a real or threatened attack; a sudden attack; also, a bugle sound to give warning."
ALFET,n.,A caldron of boiling water into which an accused person plunged his forearm as a test of innocence or guilt.
ALGAE,pl. ,of Alga
ALGAL,a.,"Pertaining to, or like, algae."
ALGID,a.,Cold; chilly.
ALGOL,n.,"A fixed star, in Medusa's head, in the constellation Perseus, remarkable for its periodic variation in brightness."
ALGOR,n.,Cold; chilliness.
ALGUM,n.,Same as Almug (and etymologically preferable).
ALIAS,adv.,"Otherwise; otherwise called; -- a term used in legal proceedings to connect the different names of any one who has gone by two or more, and whose true name is for any cause doubtful; as, Smith, alias Simpson."
ALIAS,adv.,At another time.
ALIAS,n.,A second or further writ which is issued after a first writ has expired without effect.
ALIAS,n.,Another name; an assumed name.
ALIBI,n.,"The plea or mode of defense under which a person on trial for a crime proves or attempts to prove that he was in another place when the alleged act was committed; as, to set up an alibi; to prove an alibi."
ALIEN,a.,"Not belonging to the same country, land, or government, or to the citizens or subjects thereof; foreign; as, alien subjects, enemies, property, shores."
ALIEN,a.,"Wholly different in nature; foreign; adverse; inconsistent (with); incongruous; -- followed by from or sometimes by to; as, principles alien from our religion."
ALIEN,n.,"A foreigner; one owing allegiance, or belonging, to another country; a foreign-born resident of a country in which he does not possess the privileges of a citizen. Hence, a stranger. See Alienage."
ALIEN,n.,"One excluded from certain privileges; one alienated or estranged; as, aliens from God's mercies."
ALIEN,v. t.,"To alienate; to estrange; to transfer, as property or ownership."
ALIFE,adv.,On my life; dearly.
ALIGN,v. t.,To adjust or form to a line; to range or form in line; to bring into line; to aline.
ALIGN,v. t.,To form in line; to fall into line.
ALIKE,a.,Having resemblance or similitude; similar; without difference.
ALIKE,adv.,"In the same manner, form, or degree; in common; equally; as, we are all alike concerned in religion."
ALINE,v. t.,To range or place in a line; to bring into line; to align.
ALISH,a.,"Like ale; as, an alish taste."
ALIVE,a.,"Having life, in opposition to dead; living; being in a state in which the organs perform their functions; as, an animal or a plant which is alive."
ALIVE,a.,"In a state of action; in force or operation; unextinguished; unexpired; existent; as, to keep the fire alive; to keep the affections alive."
ALIVE,a.,Exhibiting the activity and motion of many living beings; swarming; thronged.
ALIVE,a.,Sprightly; lively; brisk.
ALIVE,a.,"Having susceptibility; easily impressed; having lively feelings, as opposed to apathy; sensitive."
ALIVE,a.,Of all living (by way of emphasis).
ALLAH,n.,"The name of the Supreme Being, in use among the Arabs and the Mohammedans generally."
ALLAY,v. t.,"To make quiet or put at rest; to pacify or appease; to quell; to calm; as, to allay popular excitement; to allay the tumult of the passions."
ALLAY,v. t.,"To alleviate; to abate; to mitigate; as, to allay the severity of affliction or the bitterness of adversity."
ALLAY,v. t.,To diminish in strength; to abate; to subside.
ALLAY,n.,Alleviation; abatement; check.
ALLAY,n.,Alloy.
ALLAY,v. t.,To mix (metals); to mix with a baser metal; to alloy; to deteriorate.
ALLER,a.,"Same as Alder, of all."
ALLEY,n.,"A narrow passage; especially a walk or passage in a garden or park, bordered by rows of trees or bushes; a bordered way."
ALLEY,n.,"A narrow passage or way in a city, as distinct from a public street."
ALLEY,n.,A passageway between rows of pews in a church.
ALLEY,n.,"Any passage having the entrance represented as wider than the exit, so as to give the appearance of length."
ALLEY,n.,The space between two rows of compositors' stands in a printing office.
ALLEY,n.,A choice taw or marble.
ALLIS,n.,The European shad (Clupea vulgaris); allice shad. See Alose.
ALLOD,n.,See Allodium.
ALLOO,v. t. / i.,To incite dogs by a call; to halloo.
ALLOT,v. t.,To distribute by lot.
ALLOT,v. t.,"To distribute, or parcel out in parts or portions; or to distribute to each individual concerned; to assign as a share or lot; to set apart as one's share; to bestow on; to grant; to appoint; as, let every man be contented with that which Providence allots him."
ALLOW,v. t.,"To praise; to approve of; hence, to sanction."
ALLOW,v. t.,To like; to be suited or pleased with.
ALLOW,v. t.,To sanction; to invest; to intrust.
ALLOW,v. t.,"To grant, give, admit, accord, afford, or yield; to let one have; as, to allow a servant his liberty; to allow a free passage; to allow one day for rest."
ALLOW,v. t.,"To own or acknowledge; to accept as true; to concede; to accede to an opinion; as, to allow a right; to allow a claim; to allow the truth of a proposition."
ALLOW,v. t.,"To grant (something) as a deduction or an addition; esp. to abate or deduct; as, to allow a sum for leakage."
ALLOW,v. t.,"To grant license to; to permit; to consent to; as, to allow a son to be absent."
ALLOW,v. i.,To admit; to concede; to make allowance or abatement.
ALLOY,v. t.,"Any combination or compound of metals fused together; a mixture of metals; for example, brass, which is an alloy of copper and zinc. But when mercury is one of the metals, the compound is called an amalgam."
ALLOY,v. t.,"The quality, or comparative purity, of gold or silver; fineness."
ALLOY,v. t.,A baser metal mixed with a finer.
ALLOY,v. t.,"Admixture of anything which lessens the value or detracts from; as, no happiness is without alloy."
ALLOY,v. t.,"To reduce the purity of by mixing with a less valuable substance; as, to alloy gold with silver or copper, or silver with copper."
ALLOY,v. t.,"To mix, as metals, so as to form a compound."
ALLOY,v. t.,"To abate, impair, or debase by mixture; to allay; as, to alloy pleasure with misfortunes."
ALLOY,v. t.,To form a metallic compound.
ALLYL,n.,"An organic radical, C3H5, existing especially in oils of garlic and mustard."
ALMAH,n.,Same as Alme.
ALMAN,n.,A German.
ALMAN,adj.,German.
ALMAN,adj.,The German language.
ALMAN,adj.,A kind of dance. See Allemande.
ALMEH,n.,An Egyptian dancing girl; an Alma.
ALMRY,n.,See Almonry.
ALMUG,n.,Alt. of Algum
ALGUM,n.,A tree or wood of the Bible (2 Chron. ii. 8; 1 K. x. 11).
ALOES,pl. ,of Aloe
ALOFT,adv.,On high; in the air; high above the ground.
